epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.658,2.36989,4.99351,0.00717,0.02324,0.73758,0.16393,0.08479,1.27264,3.71671,0.00403,0.000328638,0.000328638,0.000328638
2,52.4944,1.53726,3.2558,0.00407,0.39661,0.39172,0.37629,0.19133,1.30729,2.16528,0.00396,0.00066181,0.00066181,0.00066181
3,75.9249,1.43555,2.582,0.00382,0.57502,0.61434,0.65204,0.40124,1.11834,1.4752,0.00346,0.000994333,0.000994333,0.000994333
4,112.65,1.41715,2.15797,0.00375,0.66862,0.66988,0.71092,0.34549,1.51124,1.44573,0.00456,0.000997803,0.000997803,0.000997803
5,143.154,1.45833,2.00424,0.00384,0.74599,0.73225,0.806,0.52918,1.1138,1.083,0.00347,0.000996097,0.000996097,0.000996097
6,172.389,1.41763,1.80184,0.00377,0.72208,0.73839,0.81335,0.48152,1.33202,1.11034,0.00402,0.000993906,0.000993906,0.000993906
7,202.743,1.3893,1.57393,0.00368,0.72279,0.67875,0.74305,0.26426,2.05647,1.39837,0.0062,0.000991232,0.000991232,0.000991232
8,228.812,1.34663,1.46036,0.00352,0.80567,0.77751,0.8582,0.40511,1.68138,1.08425,0.00503,0.000988079,0.000988079,0.000988079
9,257.029,1.367,1.34454,0.00362,0.82866,0.82716,0.89832,0.66146,0.96616,0.74337,0.00306,0.000984449,0.000984449,0.000984449
10,278.037,1.33525,1.25682,0.00346,0.83587,0.80864,0.89653,0.56599,1.28007,0.78478,0.00383,0.000980345,0.000980345,0.000980345
11,305.448,1.32207,1.18842,0.0035,0.85677,0.86363,0.92409,0.66669,1.01712,0.66285,0.00314,0.000975773,0.000975773,0.000975773
12,333.254,1.30584,1.10857,0.00342,0.84474,0.82041,0.89348,0.42154,1.82721,0.87199,0.00554,0.000970736,0.000970736,0.000970736
13,358.292,1.2959,1.06876,0.00341,0.88577,0.858,0.93271,0.64777,1.09124,0.61461,0.00331,0.000965239,0.000965239,0.000965239
14,379.033,1.3359,1.06691,0.00355,0.85407,0.82467,0.89955,0.42443,1.77792,0.84436,0.00531,0.000959289,0.000959289,0.000959289
15,402.778,1.29464,0.99595,0.00336,0.88752,0.88844,0.94831,0.69174,1.0229,0.54782,0.00327,0.000952889,0.000952889,0.000952889
16,423.021,1.32506,0.96726,0.00348,0.91417,0.8734,0.95217,0.70739,0.97111,0.53947,0.00303,0.000946048,0.000946048,0.000946048
