epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5627,2.09557,6.95499,0.01772,0.78095,0.12979,0.18111,0.09849,1.68335,3.05959,0.02284,0.000235796,0.000235796,0.000235796
2,98.7301,1.8465,5.25425,0.01464,0.45389,0.28808,0.22945,0.10559,1.81452,2.63716,0.02668,0.000473615,0.000473615,0.000473615
3,128.682,1.83039,4.39035,0.01489,0.4603,0.34595,0.29145,0.14601,1.70182,2.45872,0.02263,0.00071071,0.00071071,0.00071071
4,153.529,1.83026,3.64082,0.01499,0.55316,0.35731,0.33907,0.16737,1.77767,2.32108,0.0254,0.00071155,0.00071155,0.00071155
5,179.039,1.78521,3.12453,0.01407,0.47172,0.42538,0.36691,0.18866,1.75587,2.1881,0.02437,0.000709649,0.000709649,0.000709649
6,204.196,1.7788,2.81265,0.01431,0.5758,0.44478,0.41402,0.21029,1.75312,2.11866,0.0244,0.000707209,0.000707209,0.000707209
7,229.892,1.77615,2.55149,0.0142,0.52532,0.45262,0.43504,0.20521,1.78675,2.12267,0.02476,0.000704235,0.000704235,0.000704235
8,254.346,1.77754,2.42785,0.01403,0.46591,0.46629,0.44338,0.22449,1.74948,2.05565,0.02368,0.000700731,0.000700731,0.000700731
9,276.915,1.78315,2.31074,0.01405,0.49197,0.51069,0.48363,0.24409,1.70736,1.97997,0.02274,0.000696702,0.000696702,0.000696702
10,299.597,1.76824,2.21672,0.01393,0.48246,0.48594,0.48574,0.24339,1.82153,1.94826,0.02383,0.000692155,0.000692155,0.000692155
11,322.071,1.78111,2.16516,0.01408,0.54106,0.47348,0.49976,0.26195,1.71459,1.91688,0.02228,0.000687097,0.000687097,0.000687097
12,346.217,1.75139,2.10949,0.01429,0.59084,0.51317,0.50278,0.26028,1.80364,1.93765,0.02498,0.000681535,0.000681535,0.000681535
13,396.843,1.77157,2.04055,0.01412,0.50999,0.52118,0.51119,0.26422,1.74111,1.8843,0.02288,0.000675478,0.000675478,0.000675478
14,435.643,1.76553,1.99208,0.01381,0.53061,0.54219,0.55947,0.28311,1.76257,1.71183,0.02337,0.000668936,0.000668936,0.000668936
15,461.207,1.78865,1.94768,0.01404,0.46939,0.54143,0.51503,0.24528,1.83785,1.87793,0.02387,0.000661919,0.000661919,0.000661919
16,491.552,1.76333,1.92746,0.01385,0.53886,0.588,0.57243,0.29942,1.69858,1.66476,0.02234,0.000654436,0.000654436,0.000654436
17,525.819,1.75657,1.86517,0.01316,0.4991,0.56293,0.54055,0.27696,1.76181,1.79244,0.02244,0.000646501,0.000646501,0.000646501
