epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.365,1.97828,11.6139,0.01674,0.70761,0.17026,0.1517,0.07172,1.79291,3.0103,0.02857,0.000237481,0.000237481,0.000237481
2,168.731,1.76666,8.01873,0.01437,0.57931,0.21465,0.21899,0.10114,1.88461,2.76074,0.02929,0.000475452,0.000475452,0.000475452
3,236.436,1.78268,5.60605,0.01458,0.41054,0.2823,0.24747,0.12255,1.70322,2.61788,0.02549,0.000713307,0.000713307,0.000713307
4,299.016,1.79549,4.21077,0.01523,0.78402,0.2242,0.29786,0.13559,1.87986,2.76781,0.02835,0.000713608,0.000713608,0.000713608
5,362.575,1.77345,3.37993,0.01424,0.50064,0.37572,0.32395,0.14842,1.8155,2.30697,0.02723,0.000713303,0.000713303,0.000713303
6,428.184,1.78914,3.07919,0.01489,0.47686,0.34477,0.34046,0.14637,1.95018,2.33919,0.02784,0.00071291,0.00071291,0.00071291
7,493.268,1.77655,2.83329,0.0142,0.63163,0.35333,0.37487,0.18695,1.70296,2.23124,0.0236,0.000712431,0.000712431,0.000712431
8,559.335,1.78728,2.68982,0.01453,0.49558,0.38525,0.3653,0.16133,1.88419,2.24674,0.02746,0.000711866,0.000711866,0.000711866
9,627.022,1.77161,2.59517,0.01464,0.53228,0.40322,0.42755,0.21555,1.79669,2.07483,0.02714,0.000711213,0.000711213,0.000711213
10,694.007,1.76587,2.49167,0.01465,0.43619,0.48635,0.45627,0.2324,1.75139,1.94321,0.02587,0.000710474,0.000710474,0.000710474
11,757.403,1.75451,2.38448,0.01415,0.46263,0.49383,0.47615,0.24633,1.76827,1.86139,0.02628,0.000709649,0.000709649,0.000709649
12,820.238,1.75477,2.34152,0.0145,0.54353,0.44071,0.46744,0.23072,1.82783,1.88618,0.02645,0.000708737,0.000708737,0.000708737
13,884.013,1.75248,2.27022,0.01414,0.5382,0.49266,0.49798,0.24322,1.76674,1.90293,0.02682,0.00070774,0.00070774,0.00070774
14,948.664,1.76121,2.22213,0.01422,0.47577,0.4848,0.48707,0.22729,1.86396,1.84898,0.02702,0.000706657,0.000706657,0.000706657
15,1012.15,1.7438,2.17987,0.0138,0.51041,0.45662,0.4655,0.23492,1.74663,1.88938,0.02552,0.000705488,0.000705488,0.000705488
16,1081.37,1.72838,2.11492,0.0142,0.56563,0.52085,0.53871,0.25927,1.80321,1.80302,0.02542,0.000704235,0.000704235,0.000704235
17,1146.8,1.73985,2.099,0.01398,0.51097,0.547,0.55793,0.275,1.76732,1.75519,0.02525,0.000702896,0.000702896,0.000702896
18,1211.17,1.73044,2.04976,0.01414,0.56278,0.5352,0.53308,0.26405,1.82739,1.72519,0.0278,0.000701474,0.000701474,0.000701474
19,1278.18,1.74758,2.01354,0.01424,0.56699,0.60534,0.59067,0.29248,1.77813,1.67226,0.026,0.000699967,0.000699967,0.000699967
20,1346.32,1.72571,2.01951,0.01444,0.51365,0.4996,0.5169,0.2638,1.78334,1.77202,0.02656,0.000698376,0.000698376,0.000698376
21,1413.51,1.70942,1.96368,0.01414,0.59929,0.52009,0.55612,0.285,1.78168,1.70239,0.02551,0.000696702,0.000696702,0.000696702
22,1480.26,1.73522,2.0141,0.01405,0.61117,0.51674,0.55678,0.28153,1.80391,1.71834,0.02696,0.000694945,0.000694945,0.000694945
23,1547.07,1.73618,1.89969,0.01395,0.52927,0.61746,0.57989,0.29092,1.74581,1.71496,0.02502,0.000693105,0.000693105,0.000693105
24,1612.84,1.7106,1.89083,0.01334,0.52557,0.5321,0.55092,0.27275,1.80528,1.7316,0.02559,0.000691184,0.000691184,0.000691184
25,1678.15,1.72432,1.92761,0.01369,0.50405,0.5799,0.56094,0.26644,1.87538,1.73675,0.02794,0.000689181,0.000689181,0.000689181
26,1744.51,1.69226,1.91955,0.01343,0.44277,0.54531,0.51082,0.24399,1.84862,1.83551,0.02704,0.000687097,0.000687097,0.000687097
27,1811.88,1.70762,1.91884,0.0134,0.49418,0.58727,0.58439,0.28725,1.80802,1.63466,0.02669,0.000684932,0.000684932,0.000684932
28,1877.56,1.72008,1.89283,0.01368,0.54078,0.60098,0.62104,0.31715,1.7369,1.58798,0.0251,0.000682687,0.000682687,0.000682687
29,1947.39,1.71551,1.85081,0.0135,0.5756,0.61363,0.60124,0.30796,1.7796,1.59982,0.02484,0.000680363,0.000680363,0.000680363
30,2012.98,1.70358,1.85806,0.01327,0.53878,0.60522,0.5931,0.29957,1.78128,1.61682,0.02584,0.00067796,0.00067796,0.00067796
31,2079.29,1.69806,1.82499,0.01337,0.5452,0.60372,0.60613,0.29273,1.84178,1.5845,0.0287,0.000675478,0.000675478,0.000675478
32,2144.81,1.70481,1.81109,0.01329,0.5958,0.56455,0.61407,0.30657,1.86519,1.50177,0.02782,0.000672919,0.000672919,0.000672919
33,2209.44,1.69032,1.7403,0.01374,0.53579,0.58486,0.59931,0.29746,1.78864,1.62295,0.02497,0.000670283,0.000670283,0.000670283
34,2274.34,1.69923,1.75397,0.01344,0.53869,0.58852,0.57051,0.28679,1.84919,1.63349,0.0263,0.00066757,0.00066757,0.00066757
35,2339.81,1.68725,1.81036,0.01363,0.58523,0.55799,0.57815,0.28396,1.81969,1.71833,0.02697,0.000664782,0.000664782,0.000664782
36,2407.48,1.68333,1.72312,0.01322,0.57068,0.59336,0.6106,0.29489,1.82283,1.60909,0.02574,0.000661919,0.000661919,0.000661919
37,2472.5,1.68795,1.70851,0.01338,0.56969,0.61346,0.63805,0.32516,1.81721,1.48699,0.02559,0.000658981,0.000658981,0.000658981
38,2537.61,1.68778,1.71654,0.01336,0.58329,0.64978,0.62562,0.31344,1.91103,1.47811,0.02651,0.000655969,0.000655969,0.000655969
39,2602.2,1.68906,1.69496,0.01318,0.64794,0.60052,0.62406,0.32267,1.80422,1.48815,0.02528,0.000652885,0.000652885,0.000652885
40,2666.81,1.70165,1.65388,0.01306,0.57197,0.6093,0.60111,0.32113,1.78049,1.53586,0.02592,0.000649729,0.000649729,0.000649729
