epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,403.865,1.92885,10.2469,0.01736,0.73895,0.19888,0.23374,0.12044,1.83734,3.00039,0.02941,0.00999077,0.00333026,0.00999077,0.00333026,0.00999077,0.00333026,0.00999077,0.00333026
2,761.146,1.74287,5.12915,0.01549,0.28691,0.36177,0.30378,0.14389,1.85603,2.78387,0.0282,0.0199895,0.00666318,0.0199895,0.00666318,0.0199895,0.00666318,0.0199895,0.00666318
3,1111.68,1.83136,3.23706,0.01682,0.40612,0.41245,0.36932,0.16799,2.02293,2.37852,0.03019,0.0299834,0.00999448,0.0299834,0.00999448,0.0299834,0.00999448,0.0299834,0.00999448
4,1466.16,1.89253,2.86399,0.01758,0.52302,0.33235,0.34154,0.1627,1.86522,2.4028,0.0285,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,1814.21,1.90272,2.61622,0.01743,0.38325,0.4429,0.4042,0.18795,2.02226,2.22564,0.03122,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,2167.32,1.87993,2.51342,0.01725,0.37663,0.51363,0.43752,0.20448,1.84214,2.05689,0.02745,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,2517.82,1.86429,2.39974,0.01694,0.44964,0.49014,0.47878,0.21826,1.91119,2.03138,0.0273,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,2866.11,1.8627,2.29996,0.01669,0.49076,0.46593,0.48398,0.22776,1.95983,1.95001,0.02888,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,3217.45,1.83713,2.19257,0.01639,0.52266,0.5112,0.53758,0.2464,1.94454,1.7651,0.02931,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,3566.03,1.80664,2.13123,0.01577,0.4947,0.5471,0.51415,0.24622,1.89499,1.81819,0.02794,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,3915.87,1.80317,2.08906,0.01595,0.66356,0.51052,0.57863,0.25991,2.0041,1.74888,0.02827,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,4266.19,1.79935,2.01948,0.01575,0.61353,0.56338,0.59489,0.27402,1.87401,1.62028,0.02759,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,4613.38,1.79226,1.9834,0.01573,0.68497,0.46273,0.51421,0.24644,1.96172,2.44502,0.0287,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,4960.85,1.78684,1.97025,0.0158,0.57376,0.56596,0.5796,0.27518,1.87336,1.71654,0.02627,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,5308.26,1.77612,1.90476,0.01547,0.63143,0.40612,0.49453,0.24407,1.91856,2.4105,0.02775,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,5656.06,1.77133,1.86708,0.01524,0.61176,0.56326,0.60803,0.28305,1.95515,1.61671,0.02725,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,6002.88,1.76751,1.86116,0.01515,0.55005,0.57013,0.56563,0.27558,1.96013,1.65643,0.02653,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,6352.82,1.77501,1.81214,0.01535,0.62823,0.65034,0.66556,0.31072,1.87101,1.52624,0.02591,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,6699.92,1.76899,1.78924,0.01538,0.59564,0.6428,0.63632,0.31164,1.88282,1.4962,0.02573,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,7011.02,1.75647,1.72935,0.01466,0.61055,0.58853,0.59125,0.28065,1.93474,1.71202,0.0276,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,7320.15,1.75988,1.6986,0.01474,0.5836,0.52371,0.56045,0.25212,2.04097,2.12688,0.02853,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,7629.21,1.74735,1.68648,0.01472,0.63535,0.63643,0.65244,0.30073,1.96486,1.47048,0.02664,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,7937.44,1.75229,1.65474,0.01452,0.69283,0.58086,0.65036,0.32856,1.94807,1.43781,0.02703,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,8253.17,1.74174,1.61549,0.01471,0.62494,0.55807,0.57359,0.27361,1.97393,2.11749,0.0303,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,8565.71,1.71849,1.60752,0.01415,0.64289,0.64676,0.66754,0.32743,1.86782,1.46292,0.02521,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,8874.2,1.72462,1.59386,0.01446,0.5986,0.64626,0.65955,0.33561,1.8927,1.37721,0.0253,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,9185.28,1.72256,1.54349,0.01408,0.70413,0.64792,0.68435,0.33815,1.88847,1.4534,0.02697,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,9493.69,1.72401,1.55914,0.01419,0.70776,0.60385,0.65552,0.35318,1.86219,1.33989,0.02583,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,9799.83,1.71335,1.50413,0.01429,0.67722,0.64138,0.66343,0.33772,1.84946,1.31675,0.02486,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,10108.4,1.71361,1.49311,0.0143,0.68164,0.63703,0.69083,0.32948,1.94304,1.33051,0.02586,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,10416.8,1.72902,1.48734,0.01428,0.64583,0.641,0.66921,0.32666,1.90449,1.4285,0.02641,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,10724.6,1.70172,1.46729,0.01395,0.7315,0.61254,0.67322,0.33426,1.92443,1.34194,0.02627,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,11033.2,1.69249,1.4677,0.01403,0.6847,0.54135,0.60813,0.29729,1.95031,1.95389,0.02783,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,11342.5,1.67921,1.42951,0.01373,0.69013,0.64073,0.66485,0.33205,1.86673,1.31984,0.02564,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,11653.8,1.6712,1.41683,0.01366,0.63518,0.63095,0.65151,0.32492,1.85703,1.35804,0.0254,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,11960.9,1.67987,1.38006,0.0139,0.67752,0.62741,0.66031,0.33464,1.8912,1.28286,0.0257,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,12271,1.6681,1.3785,0.01352,0.42189,0.32004,0.31986,0.17795,2.15418,3.42388,0.03408,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,12579,1.67268,1.35903,0.01371,0.674,0.63515,0.66549,0.33649,1.86551,1.28318,0.02569,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,12888,1.67298,1.35264,0.01342,0.61104,0.6853,0.67757,0.34494,1.88461,1.27819,0.02563,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,13196.2,1.65735,1.33249,0.01353,0.70643,0.63725,0.68592,0.35022,1.82066,1.3249,0.025,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,13506.5,1.65896,1.346,0.01375,0.73697,0.62269,0.67889,0.3412,1.8678,1.25469,0.02558,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,13814.6,1.63105,1.31208,0.01336,0.75876,0.6375,0.70567,0.35763,1.85276,1.254,0.02527,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,14123.7,1.64421,1.30277,0.01356,0.6583,0.64107,0.68241,0.34772,1.85525,1.25263,0.02488,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,14431.4,1.62887,1.29862,0.01322,0.70709,0.64397,0.69143,0.34288,1.87691,1.26253,0.02528,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,14741,1.61791,1.31079,0.01301,0.66453,0.67182,0.68294,0.35199,1.85852,1.27871,0.02508,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,15066.8,1.63259,1.29151,0.01313,0.67643,0.67997,0.69722,0.37266,1.8194,1.26206,0.02442,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,15377.4,1.62432,1.25053,0.01331,0.65799,0.66565,0.68389,0.35861,1.88493,1.26687,0.0255,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,15697.8,1.59605,1.23353,0.01292,0.69251,0.69408,0.70449,0.36089,1.85892,1.25286,0.02549,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,16032.7,1.60178,1.22846,0.01288,0.7474,0.65527,0.70724,0.37238,1.80232,1.21918,0.02431,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,16367.1,1.61048,1.25421,0.01289,0.65938,0.64672,0.67914,0.36454,1.845,1.2537,0.02485,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,16698.9,1.58998,1.22952,0.01277,0.76138,0.62115,0.70379,0.36842,1.83324,1.20117,0.02479,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,17027.6,1.58276,1.23008,0.01281,0.73132,0.61952,0.6834,0.37112,1.80279,1.26441,0.02445,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,17355.9,1.59147,1.20539,0.01293,0.79125,0.62371,0.70428,0.37884,1.821,1.23201,0.0247,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,17682,1.58151,1.20476,0.01251,0.63754,0.67443,0.68245,0.36242,1.88181,1.2377,0.02567,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,18004.1,1.56887,1.20913,0.01257,0.72382,0.62828,0.69833,0.37586,1.87517,1.21859,0.02534,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,18322.5,1.55955,1.17732,0.01228,0.7085,0.71213,0.72627,0.38409,1.83452,1.19145,0.02461,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,18646.6,1.55582,1.17354,0.01233,0.72374,0.67892,0.70813,0.37691,1.87963,1.19308,0.02501,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,18969.3,1.5528,1.13678,0.01225,0.74029,0.65499,0.69435,0.37842,1.84943,1.21633,0.02454,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,19294.5,1.56028,1.18512,0.01241,0.71682,0.62131,0.68112,0.37575,1.83001,1.25303,0.0245,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,19616.3,1.54662,1.14718,0.01229,0.67966,0.66095,0.69704,0.36373,1.86165,1.2217,0.02518,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,19943.2,1.55121,1.14813,0.01235,0.6839,0.65478,0.69296,0.3718,1.81772,1.2498,0.02427,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,20264,1.54086,1.12448,0.01226,0.71704,0.66326,0.706,0.38003,1.85779,1.21898,0.02477,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,20591.3,1.53668,1.10942,0.012,0.65036,0.68479,0.69219,0.36787,1.85118,1.25377,0.0249,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,20921.8,1.51679,1.09707,0.01191,0.72288,0.64522,0.69865,0.37545,1.83178,1.22155,0.02471,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,21237.4,1.51954,1.0931,0.01187,0.64333,0.67835,0.67931,0.36593,1.88315,1.23498,0.02504,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,21556.8,1.51722,1.07375,0.01189,0.72704,0.64099,0.70403,0.38529,1.84362,1.21454,0.0246,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,21878.5,1.50441,1.0992,0.01204,0.67319,0.68424,0.70735,0.37905,1.8307,1.23496,0.0247,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,22203.6,1.50785,1.09984,0.01194,0.66395,0.66994,0.68839,0.36855,1.84631,1.22437,0.02494,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,22520,1.48772,1.08932,0.01184,0.70725,0.67203,0.69865,0.38141,1.85593,1.21146,0.02483,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,22849.2,1.48881,1.07587,0.01176,0.69347,0.6885,0.72334,0.38905,1.87202,1.18725,0.02494,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,23175,1.49595,1.06588,0.01187,0.76286,0.63308,0.72071,0.38297,1.87099,1.19022,0.02471,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,23500.9,1.47545,1.04434,0.0115,0.70448,0.69328,0.71064,0.38575,1.83252,1.19114,0.0249,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,23823.6,1.48844,1.05765,0.01162,0.70691,0.68538,0.71006,0.37831,1.86293,1.17559,0.02482,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,24148.4,1.45994,1.04236,0.01128,0.70632,0.69857,0.7096,0.3813,1.85301,1.2023,0.02452,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,24471.6,1.45762,1.01863,0.01149,0.69238,0.68898,0.70493,0.38632,1.84122,1.19541,0.02438,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,24790.4,1.45567,1.04735,0.01134,0.72474,0.66119,0.70637,0.38545,1.8403,1.18587,0.02472,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,25111.6,1.4478,1.0162,0.01106,0.69651,0.6733,0.7051,0.38637,1.82053,1.20463,0.02414,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,25436,1.46032,1.00852,0.01172,0.73231,0.67221,0.72039,0.38601,1.83095,1.17655,0.02417,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,25760.9,1.45421,1.01453,0.01124,0.72818,0.69804,0.71249,0.38607,1.84416,1.12887,0.02506,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,26082.1,1.43461,0.9959,0.01115,0.69144,0.67483,0.70086,0.37834,1.83721,1.20192,0.02449,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,26405.1,1.42394,0.98432,0.01115,0.72626,0.67974,0.71454,0.37922,1.86615,1.14825,0.02472,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,26726.9,1.44749,0.98385,0.01127,0.68825,0.68744,0.70165,0.3702,1.85736,1.21049,0.02501,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,27035.9,1.43728,0.98,0.01134,0.69797,0.6776,0.68601,0.37292,1.8445,1.13089,0.0244,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,27347.1,1.41308,0.96047,0.01087,0.68764,0.69385,0.70417,0.38076,1.8403,1.18218,0.0249,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,27657.8,1.42449,0.98892,0.01106,0.7222,0.69733,0.71468,0.38656,1.82879,1.15634,0.02419,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,27975.3,1.42101,0.95851,0.01115,0.72909,0.69196,0.70154,0.37762,1.84786,1.18347,0.02479,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,28291,1.4306,0.96939,0.01108,0.70729,0.71007,0.71827,0.38297,1.8789,1.15873,0.0252,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,28599.7,1.40875,0.96291,0.01096,0.72684,0.69097,0.7142,0.38952,1.85339,1.17735,0.02493,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,28908.4,1.39308,0.92209,0.01083,0.69101,0.7107,0.70478,0.38873,1.83583,1.18323,0.02477,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,29218.7,1.40355,0.90646,0.01081,0.72389,0.66346,0.70459,0.39416,1.84772,1.19214,0.02531,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
