epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6447,2.00883,12.161,0.03524,0.90105,0.01655,0.06508,0.022,2.26749,6.09519,0.06583,0.000332407,0.000332407,0.000332407
2,185.413,1.72999,7.8651,0.0274,0.51393,0.2088,0.12419,0.04062,2.14203,4.1404,0.05896,0.0006657,0.0006657,0.0006657
3,293.01,1.72595,5.5058,0.02675,0.55204,0.11192,0.08937,0.02799,2.19356,3.43196,0.05814,0.00099883,0.00099883,0.00099883
4,386.451,1.75364,4.24269,0.02789,0.48228,0.18409,0.18141,0.0628,2.02079,2.88883,0.05554,0.00099945,0.00099945,0.00099945
5,469.342,1.74738,3.60056,0.02772,0.48212,0.30193,0.23395,0.08214,1.90286,3.18302,0.04871,0.000999023,0.000999023,0.000999023
6,551.166,1.75773,3.22058,0.02713,0.39271,0.19638,0.19553,0.06775,1.98087,3.01807,0.05021,0.000998474,0.000998474,0.000998474
7,646.224,1.68223,3.02749,0.02682,0.38399,0.22438,0.23685,0.08338,1.94956,2.83171,0.04989,0.000997803,0.000997803,0.000997803
8,731.856,1.69888,2.88131,0.02643,0.48639,0.23514,0.26158,0.0974,2.05218,2.82438,0.05218,0.000997011,0.000997011,0.000997011
9,814.681,1.69813,2.81653,0.02725,0.47511,0.32436,0.30404,0.10516,1.95639,2.48683,0.04972,0.000996097,0.000996097,0.000996097
10,901.476,1.71677,2.65343,0.02693,0.45351,0.3437,0.3299,0.11211,1.96494,2.48234,0.04884,0.000995062,0.000995062,0.000995062
11,980.062,1.67811,2.59136,0.02563,0.49745,0.35857,0.37777,0.14036,1.88748,2.39679,0.04615,0.000993906,0.000993906,0.000993906
12,1069.96,1.74091,2.55275,0.02767,0.46267,0.35098,0.33775,0.13108,2.06041,2.37034,0.05119,0.000992629,0.000992629,0.000992629
13,1136.15,1.71602,2.4899,0.02754,0.26493,0.36957,0.32312,0.11806,1.92042,2.54523,0.04731,0.000991232,0.000991232,0.000991232
14,1205.3,1.72873,2.43906,0.02737,0.49781,0.41396,0.37351,0.13605,1.98861,2.32054,0.04885,0.000989715,0.000989715,0.000989715
15,1270.71,1.69214,2.4251,0.02619,0.43244,0.44165,0.42283,0.16787,1.94499,2.15007,0.04797,0.000988079,0.000988079,0.000988079
