epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4811,4.39537,9.1292,0.01155,0,0,0,0,3.60805,7.04305,0.0088,0.00032,0.00032,0.00032
2,44.7154,3.74532,7.0107,0.00669,0,0,0,0,2.9782,5.21695,0.00541,0.000649752,0.000649752,0.000649752
3,64.6975,3.30321,6.04712,0.00519,0.00189,0.10405,0.00789,0.00211,2.62392,4.10829,0.00461,0.000978505,0.000978505,0.000978505
4,82.733,3.08506,5.37396,0.00462,0.56302,0.05129,0.0477,0.01758,2.60616,3.79709,0.00466,0.000996569,0.000996569,0.000996569
5,99.8895,2.96782,4.89619,0.00443,0.33697,0.12624,0.08224,0.02777,2.64648,3.57764,0.00443,0.000993906,0.000993906,0.000993906
6,117.181,2.90458,4.47895,0.00414,0.32292,0.25718,0.13118,0.04907,2.40224,3.04576,0.00397,0.000990489,0.000990489,0.000990489
7,134.313,2.79212,4.21343,0.00394,0.45922,0.21837,0.16695,0.06908,2.25051,2.80391,0.00378,0.000986323,0.000986323,0.000986323
8,151.676,2.77341,3.94612,0.00385,0.42258,0.25242,0.19699,0.08096,2.20155,2.70794,0.00353,0.000981415,0.000981415,0.000981415
9,168.599,2.70655,3.6605,0.00372,0.4611,0.29966,0.24946,0.10303,2.17366,2.5314,0.00354,0.000975773,0.000975773,0.000975773
10,184.608,2.63832,3.45549,0.00369,0.33903,0.31112,0.26276,0.09766,2.32171,2.44746,0.00371,0.000969405,0.000969405,0.000969405
11,201.081,2.62321,3.29616,0.00357,0.57625,0.33252,0.31619,0.12115,2.24238,2.38595,0.00355,0.00096232,0.00096232,0.00096232
12,217.804,2.63381,3.18445,0.00362,0.65015,0.32839,0.37412,0.15303,2.20081,2.19038,0.00356,0.000954531,0.000954531,0.000954531
13,235.699,2.60591,3.11164,0.0035,0.62775,0.38577,0.41109,0.17882,2.10452,1.99818,0.00331,0.000946048,0.000946048,0.000946048
14,252.119,2.58868,2.99606,0.0035,0.6533,0.4093,0.42901,0.18619,2.12711,2.0619,0.00333,0.000936886,0.000936886,0.000936886
15,270.023,2.59956,2.95442,0.00353,0.70953,0.4222,0.48452,0.22157,2.03816,1.92706,0.00323,0.000927057,0.000927057,0.000927057
16,290.547,2.57796,2.82592,0.00344,0.74807,0.44369,0.49388,0.2086,2.07512,2.02568,0.00327,0.000916577,0.000916577,0.000916577
17,324.75,2.50208,2.62956,0.00336,0.72292,0.44509,0.49724,0.22516,2.01873,1.8758,0.00315,0.000905463,0.000905463,0.000905463
