epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7423,1.64345,5.30326,0.02554,0.01083,0.7565,0.08001,0.03935,1.66488,4.34091,0.03764,0.000329412,0.000329412,0.000329412
2,69.1803,1.45879,4.19083,0.02209,0.43121,0.23109,0.1931,0.08379,1.75198,3.18969,0.03858,0.000662492,0.000662492,0.000662492
3,101.071,1.52173,3.52858,0.02342,0.48197,0.39957,0.33345,0.13924,1.74042,2.71503,0.04155,0.000994558,0.000994558,0.000994558
4,134.172,1.54311,3.02425,0.02385,0.47455,0.32603,0.31092,0.1334,1.62838,2.49794,0.03817,0.000996569,0.000996569,0.000996569
5,168.468,1.54899,2.67651,0.02373,0.54527,0.38745,0.41451,0.18636,1.60655,2.23337,0.03825,0.000993906,0.000993906,0.000993906
6,195.794,1.52901,2.48406,0.02315,0.54885,0.43411,0.43402,0.19682,1.63447,2.20715,0.03672,0.000990489,0.000990489,0.000990489
7,222.27,1.51505,2.39613,0.02323,0.59895,0.4567,0.46223,0.22352,1.54637,2.14015,0.03432,0.000986323,0.000986323,0.000986323
8,252.68,1.50704,2.25555,0.02308,0.65285,0.48156,0.5254,0.24706,1.60823,1.8765,0.03628,0.000981415,0.000981415,0.000981415
9,278.269,1.50354,2.11679,0.0223,0.44862,0.48601,0.48325,0.2235,1.60025,1.91661,0.03699,0.000975773,0.000975773,0.000975773
10,305.852,1.50255,2.09698,0.02227,0.59313,0.45143,0.48855,0.2232,1.62368,1.98888,0.0373,0.000969405,0.000969405,0.000969405
11,331.676,1.49271,2.08749,0.02292,0.62711,0.46054,0.50626,0.23948,1.6053,1.93545,0.03443,0.00096232,0.00096232,0.00096232
12,363.706,1.54187,2.01981,0.02296,0.55941,0.52486,0.56488,0.25902,1.67855,1.75858,0.037,0.000954531,0.000954531,0.000954531
13,390.48,1.52202,2.00098,0.02305,0.51705,0.52828,0.52464,0.2425,1.6125,1.88621,0.03814,0.000946048,0.000946048,0.000946048
14,416.873,1.51662,1.92825,0.02279,0.52859,0.51635,0.52959,0.24405,1.6899,1.8127,0.03776,0.000936886,0.000936886,0.000936886
15,444.46,1.5088,1.93489,0.02284,0.63893,0.49592,0.58435,0.28029,1.63042,1.67946,0.03725,0.000927057,0.000927057,0.000927057
16,470.18,1.51605,1.87467,0.02296,0.56517,0.58269,0.58823,0.28019,1.58826,1.69627,0.03537,0.000916577,0.000916577,0.000916577
17,491.096,1.51346,1.9094,0.02303,0.59226,0.54905,0.60738,0.29346,1.5965,1.69433,0.03541,0.000905463,0.000905463,0.000905463
18,513.398,1.49081,1.86235,0.02199,0.56739,0.52981,0.56415,0.25366,1.69994,1.71907,0.03938,0.000893732,0.000893732,0.000893732
19,539.545,1.47911,1.77054,0.02208,0.5925,0.58943,0.61028,0.29428,1.60088,1.58885,0.03535,0.000881401,0.000881401,0.000881401
20,561.732,1.51048,1.81984,0.02271,0.58613,0.59517,0.62148,0.29629,1.60135,1.5524,0.03611,0.00086849,0.00086849,0.00086849
21,583.721,1.50799,1.78075,0.02233,0.6026,0.56703,0.59965,0.29178,1.69012,1.59253,0.03828,0.000855018,0.000855018,0.000855018
22,605.155,1.49537,1.7769,0.02236,0.56443,0.57652,0.61259,0.30163,1.65849,1.52845,0.03943,0.000841006,0.000841006,0.000841006
23,625.609,1.5099,1.75409,0.02209,0.57185,0.57606,0.6153,0.3062,1.58667,1.62251,0.03554,0.000826477,0.000826477,0.000826477
24,648.869,1.48974,1.74413,0.02238,0.58356,0.57083,0.60417,0.29895,1.69714,1.52373,0.0379,0.000811452,0.000811452,0.000811452
25,672.384,1.48879,1.75655,0.02223,0.61433,0.53945,0.60585,0.29674,1.6819,1.58519,0.03681,0.000795954,0.000795954,0.000795954
26,693.035,1.4949,1.70887,0.02239,0.59466,0.62992,0.62754,0.30657,1.59928,1.53466,0.03619,0.000780007,0.000780007,0.000780007
27,713.751,1.49203,1.73834,0.02218,0.61654,0.6243,0.66687,0.33173,1.58464,1.47761,0.03562,0.000763637,0.000763637,0.000763637
28,735.142,1.44545,1.66076,0.02116,0.58427,0.61829,0.64864,0.32472,1.61637,1.50106,0.03591,0.000746868,0.000746868,0.000746868
29,755.917,1.48938,1.68907,0.02184,0.58982,0.65664,0.65736,0.32773,1.62377,1.44164,0.03634,0.000729725,0.000729725,0.000729725
30,777.516,1.45688,1.6276,0.02159,0.62256,0.63535,0.66803,0.3279,1.61923,1.5185,0.03632,0.000712237,0.000712237,0.000712237
31,798.067,1.45063,1.6337,0.02161,0.60658,0.6545,0.65838,0.32624,1.59232,1.45518,0.03619,0.000694428,0.000694428,0.000694428
32,818.51,1.45642,1.59466,0.02162,0.5931,0.64673,0.66272,0.31973,1.6404,1.47137,0.03767,0.000676328,0.000676328,0.000676328
33,839.476,1.45325,1.6133,0.02116,0.61881,0.6287,0.67443,0.34127,1.58386,1.42046,0.0354,0.000657963,0.000657963,0.000657963
34,859.993,1.43662,1.58892,0.02098,0.64083,0.63685,0.67664,0.34052,1.56469,1.43643,0.03593,0.000639363,0.000639363,0.000639363
35,880.553,1.45496,1.60602,0.02141,0.61802,0.64847,0.67789,0.33618,1.60592,1.38639,0.03476,0.000620555,0.000620555,0.000620555
36,901.888,1.46661,1.61777,0.02142,0.57243,0.61956,0.63134,0.32992,1.54612,1.42986,0.03375,0.00060157,0.00060157,0.00060157
37,925.493,1.42636,1.56377,0.02077,0.65454,0.63583,0.68314,0.33832,1.63661,1.42093,0.03538,0.000582435,0.000582435,0.000582435
38,946.051,1.4344,1.56354,0.02151,0.67056,0.6182,0.67386,0.34115,1.58651,1.42367,0.0363,0.000563181,0.000563181,0.000563181
39,966.556,1.41515,1.56368,0.02074,0.58658,0.65657,0.68153,0.34593,1.5793,1.42162,0.03559,0.000543837,0.000543837,0.000543837
40,986.67,1.43324,1.53966,0.02052,0.64507,0.63919,0.68654,0.3624,1.52227,1.38144,0.03474,0.000524434,0.000524434,0.000524434
41,1007.09,1.42367,1.54892,0.02108,0.63783,0.63572,0.66569,0.34114,1.56501,1.4328,0.03501,0.000505,0.000505,0.000505
42,1028.41,1.39635,1.53313,0.02028,0.64462,0.60587,0.66573,0.33794,1.57105,1.47413,0.03466,0.000485566,0.000485566,0.000485566
43,1049.01,1.40985,1.55388,0.0207,0.65174,0.62787,0.67842,0.35458,1.56599,1.32729,0.03408,0.000466163,0.000466163,0.000466163
44,1069.67,1.39772,1.49897,0.02038,0.61631,0.62801,0.66646,0.35317,1.55338,1.39485,0.03405,0.000446819,0.000446819,0.000446819
45,1090.98,1.4004,1.46377,0.02054,0.66439,0.62137,0.68583,0.35286,1.59484,1.36035,0.03495,0.000427565,0.000427565,0.000427565
46,1111.42,1.42485,1.52728,0.02074,0.65757,0.64516,0.69566,0.35605,1.57685,1.34972,0.03499,0.00040843,0.00040843,0.00040843
47,1131.95,1.40674,1.48748,0.02066,0.67449,0.64142,0.70256,0.37168,1.5457,1.36438,0.03411,0.000389445,0.000389445,0.000389445
