epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.165,2.1038,15.5364,0.01974,0.48767,0.25497,0.20415,0.08907,1.94833,3.07992,0.03344,0.000237741,0.000237741,0.000237741
2,395.333,1.98957,3.79146,0.0183,0.62383,0.258,0.25265,0.10881,2.09709,3.02596,0.03574,0.000475712,0.000475712,0.000475712
3,585.015,2.05774,3.18611,0.0195,0.4645,0.32474,0.25801,0.09975,2.09238,2.82421,0.03355,0.000713566,0.000713566,0.000713566
4,772.627,2.03644,2.90076,0.01885,0.58429,0.3141,0.31447,0.13543,2.06549,2.44444,0.03428,0.000713608,0.000713608,0.000713608
5,962.677,2.03435,2.72989,0.01909,0.39536,0.38985,0.32925,0.15041,2.00098,2.32168,0.03317,0.000713303,0.000713303,0.000713303
6,1150.28,2.03666,2.56189,0.01976,0.3988,0.36454,0.33678,0.15022,2.08744,2.22294,0.03168,0.00071291,0.00071291,0.00071291
7,1338.18,2.01313,2.47807,0.01819,0.45219,0.42912,0.37485,0.16528,2.03152,2.24829,0.03239,0.000712431,0.000712431,0.000712431
8,1524.82,1.98481,2.45798,0.01938,0.59302,0.38896,0.37598,0.17587,2.09336,2.16377,0.03518,0.000711866,0.000711866,0.000711866
9,1713.74,1.97496,2.34862,0.01812,0.48512,0.45239,0.41005,0.17362,2.09627,2.01922,0.03559,0.000711213,0.000711213,0.000711213
10,1901.87,1.9496,2.29139,0.01826,0.62259,0.45245,0.45937,0.20313,1.94683,1.94365,0.02974,0.000710474,0.000710474,0.000710474
11,2089.94,1.92366,2.20711,0.01737,0.57163,0.44159,0.44268,0.1763,2.06432,2.04605,0.03091,0.000709649,0.000709649,0.000709649
12,2278.31,1.95147,2.22626,0.01784,0.50781,0.42945,0.4328,0.20545,1.9812,1.87816,0.03161,0.000708737,0.000708737,0.000708737
13,2467.58,1.90424,2.17276,0.01728,0.49324,0.50494,0.44356,0.20418,2.01838,1.89498,0.03097,0.00070774,0.00070774,0.00070774
14,2655.33,1.89766,2.08431,0.01694,0.59211,0.51502,0.53479,0.24649,1.94867,1.78771,0.03126,0.000706657,0.000706657,0.000706657
15,2844.25,1.91695,2.06726,0.01786,0.60969,0.50167,0.51144,0.23595,1.9443,1.83537,0.0298,0.000705488,0.000705488,0.000705488
16,3031.89,1.85978,2.05838,0.01674,0.43691,0.52207,0.51558,0.23983,1.851,1.74854,0.02815,0.000704235,0.000704235,0.000704235
17,3219.26,1.87345,1.99334,0.01688,0.64467,0.49782,0.53905,0.25388,1.93366,1.71608,0.02886,0.000702896,0.000702896,0.000702896
18,3406.64,1.85288,1.99382,0.01654,0.53245,0.54431,0.51373,0.24306,1.88862,1.73967,0.02968,0.000701474,0.000701474,0.000701474
19,3595.63,1.86378,2.0335,0.01646,0.59511,0.46911,0.48862,0.21619,1.94954,1.90206,0.03166,0.000699967,0.000699967,0.000699967
20,3782.88,1.82777,1.94251,0.01589,0.60181,0.58677,0.5705,0.25793,1.96109,1.64602,0.02977,0.000698376,0.000698376,0.000698376
21,3971.33,1.84734,1.95617,0.01648,0.58959,0.58077,0.56291,0.26298,1.92324,1.66456,0.0311,0.000696702,0.000696702,0.000696702
22,4159.74,1.8261,1.93737,0.01572,0.58663,0.5784,0.56694,0.25179,1.91999,1.65521,0.0293,0.000694945,0.000694945,0.000694945
23,4348.76,1.8367,1.90557,0.0165,0.5341,0.58141,0.58983,0.26132,1.85409,1.72976,0.02716,0.000693105,0.000693105,0.000693105
24,4536.53,1.79664,1.91363,0.01593,0.46131,0.59909,0.58507,0.27266,1.92027,1.61951,0.0319,0.000691184,0.000691184,0.000691184
25,4724.46,1.8074,1.87605,0.01611,0.56863,0.5981,0.58811,0.26587,2.02667,1.69856,0.03016,0.000689181,0.000689181,0.000689181
26,4911.5,1.8527,1.83682,0.01641,0.64824,0.55868,0.58416,0.27063,1.98074,1.63663,0.03069,0.000687097,0.000687097,0.000687097
27,5099.33,1.82311,1.83672,0.01626,0.67547,0.55054,0.57823,0.27875,1.90289,1.64503,0.02978,0.000684932,0.000684932,0.000684932
28,5287.28,1.79578,1.81779,0.0157,0.66388,0.54567,0.59826,0.28605,1.94731,1.55521,0.03008,0.000682687,0.000682687,0.000682687
29,5474.32,1.81613,1.83634,0.01617,0.65569,0.57408,0.58338,0.28228,1.99361,1.61867,0.03072,0.000680363,0.000680363,0.000680363
30,5665.84,1.83646,1.84175,0.01593,0.73692,0.5775,0.61893,0.29663,1.88751,1.60105,0.02861,0.00067796,0.00067796,0.00067796
31,5856.06,1.82228,1.77617,0.01607,0.60113,0.54412,0.58042,0.2817,1.87113,1.58932,0.02823,0.000675478,0.000675478,0.000675478
32,6043.17,1.79069,1.81306,0.01577,0.60956,0.56854,0.62472,0.29135,1.94982,1.49004,0.02986,0.000672919,0.000672919,0.000672919
33,6229.89,1.82936,1.77206,0.0158,0.62583,0.56699,0.59211,0.26895,1.90824,1.55945,0.02821,0.000670283,0.000670283,0.000670283
34,6417.24,1.798,1.78327,0.01569,0.59903,0.5868,0.60439,0.27251,1.939,1.60204,0.03017,0.00066757,0.00066757,0.00066757
35,6606.05,1.79429,1.76294,0.01553,0.59828,0.6359,0.62389,0.29546,1.90243,1.49099,0.02832,0.000664782,0.000664782,0.000664782
36,6802.59,1.77615,1.70623,0.0155,0.63201,0.60299,0.60474,0.28187,1.9505,1.51265,0.02832,0.000661919,0.000661919,0.000661919
37,6992.24,1.81172,1.7032,0.01535,0.55711,0.60397,0.60334,0.29588,1.85632,1.47163,0.02796,0.000658981,0.000658981,0.000658981
38,7179.33,1.77234,1.65851,0.01494,0.64165,0.55875,0.62806,0.3047,1.87312,1.56043,0.02887,0.000655969,0.000655969,0.000655969
39,7368.08,1.76314,1.66644,0.01507,0.60659,0.6043,0.61055,0.29465,1.88868,1.55787,0.02861,0.000652885,0.000652885,0.000652885
40,7556.89,1.78499,1.72029,0.01546,0.64161,0.57652,0.5928,0.29234,1.86023,1.6156,0.02789,0.000649729,0.000649729,0.000649729
41,7744.01,1.75872,1.69807,0.01513,0.68063,0.56834,0.62704,0.30475,1.92824,1.49495,0.03028,0.000646501,0.000646501,0.000646501
42,7932.83,1.79571,1.67968,0.0155,0.64091,0.63938,0.64035,0.29736,1.9706,1.45717,0.03055,0.000643203,0.000643203,0.000643203
43,8121.51,1.78569,1.66628,0.01447,0.63615,0.5616,0.64333,0.30995,1.93446,1.49134,0.02832,0.000639834,0.000639834,0.000639834
44,8311.66,1.77467,1.6404,0.01458,0.56808,0.63028,0.61442,0.29561,1.91132,1.50207,0.02753,0.000636398,0.000636398,0.000636398
45,8500.49,1.77671,1.66269,0.01503,0.59869,0.62479,0.64278,0.30136,1.92353,1.50323,0.02945,0.000632892,0.000632892,0.000632892
46,8689.58,1.77032,1.60021,0.01506,0.614,0.62479,0.61166,0.27273,1.97664,1.46523,0.02945,0.00062932,0.00062932,0.00062932
47,8884.15,1.72719,1.6236,0.01474,0.64819,0.62336,0.64136,0.32188,1.83768,1.46273,0.02707,0.000625682,0.000625682,0.000625682
48,9085.12,1.73893,1.63414,0.01419,0.64946,0.61673,0.65243,0.30787,1.91502,1.45231,0.02813,0.000621978,0.000621978,0.000621978
49,9284.74,1.7211,1.55844,0.01428,0.65432,0.62589,0.65462,0.32339,1.85048,1.36983,0.02701,0.000618209,0.000618209,0.000618209
50,9485.36,1.75421,1.64585,0.01511,0.55316,0.6103,0.58606,0.28916,1.9046,1.37746,0.02761,0.000614377,0.000614377,0.000614377
51,9686.26,1.7616,1.62059,0.01499,0.60691,0.59892,0.60763,0.30116,1.88478,1.41714,0.02798,0.000610483,0.000610483,0.000610483
52,9888.06,1.73509,1.56286,0.01462,0.71523,0.60644,0.65561,0.3109,1.95763,1.37407,0.02853,0.000606526,0.000606526,0.000606526
53,10088.7,1.73491,1.58775,0.01454,0.63696,0.61181,0.65024,0.31787,1.88089,1.41487,0.02729,0.000602509,0.000602509,0.000602509
54,10294.6,1.73608,1.60068,0.01481,0.64853,0.65061,0.65543,0.31878,1.90574,1.36934,0.02994,0.000598433,0.000598433,0.000598433
55,10503.4,1.74252,1.55872,0.01465,0.59984,0.6227,0.63501,0.31546,1.9059,1.40422,0.0286,0.000594297,0.000594297,0.000594297
56,10713.7,1.72699,1.59309,0.0145,0.6108,0.64109,0.65353,0.32978,1.84174,1.38884,0.02658,0.000590104,0.000590104,0.000590104
57,10925.4,1.71742,1.54895,0.01516,0.64447,0.58485,0.64208,0.30646,1.90993,1.38868,0.02875,0.000585855,0.000585855,0.000585855
58,11134.7,1.72907,1.5205,0.01449,0.58036,0.62305,0.62612,0.31459,1.88517,1.40758,0.02875,0.00058155,0.00058155,0.00058155
59,11346.8,1.70493,1.52331,0.01422,0.5868,0.63729,0.64561,0.31536,1.9344,1.36752,0.0313,0.00057719,0.00057719,0.00057719
60,11555.1,1.72537,1.52955,0.01446,0.62279,0.61435,0.63939,0.32363,1.89842,1.41415,0.02983,0.000572777,0.000572777,0.000572777
61,11766,1.74431,1.48899,0.0146,0.66669,0.63552,0.65789,0.32033,1.88616,1.41007,0.02867,0.000568311,0.000568311,0.000568311
62,12086.9,1.7242,1.47154,0.01412,0.7285,0.60732,0.67737,0.32598,1.88086,1.37258,0.02771,0.000563794,0.000563794,0.000563794
63,12455.2,1.68934,1.46733,0.01402,0.63172,0.69452,0.67429,0.33316,1.87273,1.32841,0.02741,0.000559227,0.000559227,0.000559227
64,12882.1,1.72372,1.4711,0.01484,0.62906,0.61386,0.65293,0.33035,1.8529,1.35873,0.0272,0.000554611,0.000554611,0.000554611
65,13269.4,1.721,1.44836,0.01432,0.65102,0.6494,0.66651,0.33429,1.87959,1.34722,0.02714,0.000549947,0.000549947,0.000549947
66,13677.4,1.72117,1.4569,0.01439,0.68568,0.6518,0.67306,0.32469,1.91515,1.34919,0.02904,0.000545237,0.000545237,0.000545237
67,14051.1,1.72012,1.46852,0.01484,0.68973,0.67706,0.68908,0.331,1.87943,1.29188,0.02707,0.000540481,0.000540481,0.000540481
68,14406.5,1.70879,1.4484,0.01457,0.61183,0.64586,0.64277,0.31547,1.93968,1.35093,0.02833,0.00053568,0.00053568,0.00053568
69,14779.3,1.72168,1.36987,0.01405,0.64925,0.65522,0.66888,0.3333,1.94805,1.36531,0.02853,0.000530836,0.000530836,0.000530836
70,15144.5,1.70774,1.41925,0.01374,0.66776,0.64352,0.67473,0.35073,1.84044,1.37608,0.02649,0.00052595,0.00052595,0.00052595
71,15503.8,1.70251,1.41179,0.01399,0.68333,0.61841,0.66156,0.33856,1.87172,1.34446,0.02798,0.000521024,0.000521024,0.000521024
72,15853.5,1.69483,1.42001,0.01431,0.64947,0.64051,0.6632,0.32469,1.94245,1.38826,0.02955,0.000516058,0.000516058,0.000516058
73,16179.7,1.70347,1.4236,0.01387,0.64056,0.6552,0.67977,0.33308,1.86221,1.30665,0.02729,0.000511053,0.000511053,0.000511053
74,16534.3,1.69415,1.40645,0.01371,0.60614,0.65107,0.66874,0.33853,1.85955,1.2975,0.02716,0.000506012,0.000506012,0.000506012
75,16889.6,1.66184,1.35712,0.0139,0.76187,0.55727,0.66946,0.33325,1.87799,1.34815,0.02809,0.000500934,0.000500934,0.000500934
76,17237,1.67565,1.40671,0.01407,0.64758,0.64487,0.69128,0.34391,1.85647,1.29798,0.02714,0.000495822,0.000495822,0.000495822
77,17567.6,1.65468,1.38305,0.01365,0.64979,0.66154,0.68223,0.33245,1.87478,1.34519,0.02838,0.000490676,0.000490676,0.000490676
78,17934.2,1.6796,1.41934,0.01408,0.62586,0.63577,0.65041,0.32796,1.8702,1.27167,0.02748,0.000485499,0.000485499,0.000485499
79,18297.9,1.67435,1.39625,0.01411,0.66381,0.62407,0.67543,0.33625,1.9161,1.35778,0.02734,0.00048029,0.00048029,0.00048029
