epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2995,4.60317,8.68212,2.20975,0,0,0,0,3.31202,5.60392,1.35255,0.00024,0.00024,0.00024
2,86.6979,3.55115,5.46544,1.32364,0,0,0,0,3.14618,4.80814,1.325,0.000489813,0.000489813,0.000489813
3,104.247,3.14851,4.45559,1.20598,0.63931,0.02796,0.07764,0.0251,2.77246,3.36562,1.27206,0.000738871,0.000738871,0.000738871
4,123.777,3.0163,4.14928,1.15667,0.50238,0.06168,0.16453,0.06259,2.48002,3.07899,1.12693,0.000986603,0.000986603,0.000986603
5,144.148,2.82791,3.66726,1.14686,0.62712,0.14311,0.25314,0.10373,2.56176,2.77556,1.1497,0.000993906,0.000993906,0.000993906
6,167.977,2.74072,3.29716,1.10839,0.62036,0.33574,0.35437,0.15098,2.34551,2.16946,1.0905,0.000990489,0.000990489,0.000990489
7,187.445,2.74796,3.21652,1.08295,0.61505,0.26743,0.30323,0.11574,2.27589,2.49073,1.04735,0.000986323,0.000986323,0.000986323
8,207.398,2.61902,2.92844,1.05882,0.69404,0.4012,0.42023,0.17815,2.18042,2.01568,1.04227,0.000981415,0.000981415,0.000981415
9,227.811,2.56241,2.69765,1.05816,0.71953,0.43978,0.49769,0.20565,2.10024,1.82914,1.02718,0.000975773,0.000975773,0.000975773
10,273.176,2.43949,2.52926,1.03886,0.64388,0.40944,0.42641,0.17532,2.1387,1.84823,1.02714,0.000969405,0.000969405,0.000969405
11,288.721,2.476,2.54858,1.04171,0.76261,0.46951,0.51874,0.2149,2.02169,1.71424,1.0181,0.00096232,0.00096232,0.00096232
12,310.322,2.45449,2.38293,1.03327,0.81387,0.49369,0.54957,0.22737,2.02757,1.63404,1.00455,0.000954531,0.000954531,0.000954531
13,350.026,2.43713,2.31645,1.02333,0.81233,0.51131,0.5681,0.25105,1.98168,1.55883,1.01347,0.000946048,0.000946048,0.000946048
14,379.054,2.43996,2.33983,1.02814,0.76358,0.50595,0.5583,0.24799,1.97458,1.65524,1.01285,0.000936886,0.000936886,0.000936886
15,435.425,2.42702,2.23045,1.01529,0.76934,0.50419,0.56768,0.2407,2.05922,1.59661,0.99895,0.000927057,0.000927057,0.000927057
16,501.304,2.40501,2.15612,1.00434,0.78158,0.52631,0.54732,0.18332,2.35445,1.66079,1.0481,0.000916577,0.000916577,0.000916577
