epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3752,1.82763,3.13299,1.9149,0.72131,0.22998,0.30967,0.14214,1.94305,2.64813,2.07294,0.000328704,0.000328704,0.000328704
2,53.8922,1.69604,2.3599,1.78573,0.47524,0.39529,0.3049,0.12665,2.16016,4.00558,2.52553,0.000661784,0.000661784,0.000661784
3,72.5797,1.71799,2.25497,1.78763,0.47114,0.36816,0.3088,0.12255,1.94045,2.91659,2.19744,0.000993852,0.000993852,0.000993852
4,93.9064,1.66454,2.108,1.75814,0.31786,0.54219,0.36791,0.14609,1.89722,2.53623,2.19599,0.000996569,0.000996569,0.000996569
5,116.7,1.66665,2.0662,1.75033,0.55319,0.25118,0.20616,0.08803,1.97922,3.43106,2.19074,0.000993906,0.000993906,0.000993906
6,133.86,1.64615,2.00091,1.74861,0.39198,0.4914,0.45463,0.20587,1.85222,2.00764,2.10651,0.000990489,0.000990489,0.000990489
7,154.834,1.59928,1.93515,1.70987,0.36147,0.46121,0.37554,0.16459,1.8227,2.52206,2.0505,0.000986323,0.000986323,0.000986323
8,175.692,1.58537,1.90591,1.70788,0.49091,0.54794,0.52078,0.23488,1.83859,1.8994,2.03458,0.000981415,0.000981415,0.000981415
9,197.429,1.59401,1.82117,1.6794,0.5436,0.56293,0.56594,0.25447,1.76181,1.7606,1.93999,0.000975773,0.000975773,0.000975773
10,221.653,1.56758,1.82459,1.67314,0.50187,0.56265,0.52836,0.22655,1.79673,1.7328,1.94652,0.000969405,0.000969405,0.000969405
11,239.929,1.5639,1.84134,1.69817,0.64661,0.48793,0.5481,0.23399,1.86082,1.92062,1.98022,0.00096232,0.00096232,0.00096232
12,263.121,1.54202,1.77841,1.66398,0.54656,0.56655,0.58859,0.26931,1.75153,1.84133,1.91786,0.000954531,0.000954531,0.000954531
13,278.809,1.53647,1.76293,1.66158,0.48695,0.60981,0.5712,0.25748,1.74771,1.96049,1.97551,0.000946048,0.000946048,0.000946048
14,294.011,1.51466,1.70592,1.63768,0.59106,0.59963,0.65178,0.31471,1.67141,1.61076,1.87698,0.000936886,0.000936886,0.000936886
15,310.459,1.53235,1.7036,1.65242,0.54922,0.60534,0.60855,0.29487,1.615,1.63253,1.80692,0.000927057,0.000927057,0.000927057
16,325.949,1.50843,1.70685,1.64965,0.37796,0.50222,0.44691,0.18699,1.94855,2.19489,2.10747,0.000916577,0.000916577,0.000916577
17,342.146,1.49087,1.67178,1.62954,0.505,0.57345,0.60618,0.29288,1.65756,1.69359,1.85837,0.000905463,0.000905463,0.000905463
18,358.465,1.51445,1.67189,1.63209,0.53472,0.61503,0.63507,0.30324,1.67282,1.62488,1.85985,0.000893732,0.000893732,0.000893732
19,374.357,1.49091,1.63893,1.62158,0.58379,0.54668,0.58164,0.27739,1.75587,1.76196,1.89547,0.000881401,0.000881401,0.000881401
20,389.956,1.48307,1.62586,1.62442,0.52689,0.59691,0.59419,0.27324,1.76938,1.65063,1.88714,0.00086849,0.00086849,0.00086849
21,405.498,1.49397,1.62992,1.62396,0.62236,0.59056,0.66791,0.33091,1.63855,1.58338,1.79123,0.000855018,0.000855018,0.000855018
22,420.985,1.47017,1.6283,1.61215,0.47163,0.63973,0.58394,0.2567,1.71996,1.92715,1.85345,0.000841006,0.000841006,0.000841006
23,436.878,1.47146,1.6113,1.61346,0.54811,0.61988,0.64499,0.31012,1.64105,1.55518,1.81263,0.000826477,0.000826477,0.000826477
24,452.583,1.48652,1.61819,1.63012,0.45569,0.67082,0.60722,0.29631,1.6453,1.63103,1.78675,0.000811452,0.000811452,0.000811452
25,467.947,1.47018,1.61493,1.60711,0.52236,0.60113,0.61337,0.29996,1.67733,1.67049,1.87736,0.000795954,0.000795954,0.000795954
26,484.36,1.49207,1.60102,1.61655,0.58522,0.48447,0.52422,0.24511,1.70835,2.1796,1.84766,0.000780007,0.000780007,0.000780007
27,500.392,1.45892,1.60035,1.60347,0.59202,0.62882,0.67504,0.3234,1.65231,1.53407,1.83632,0.000763637,0.000763637,0.000763637
28,515.603,1.44894,1.55084,1.59289,0.52913,0.60535,0.60206,0.29268,1.67996,1.64547,1.87555,0.000746868,0.000746868,0.000746868
29,531,1.46146,1.57598,1.60349,0.58343,0.62548,0.6674,0.3336,1.58617,1.53052,1.78919,0.000729725,0.000729725,0.000729725
30,546.394,1.43446,1.53869,1.58197,0.58786,0.65691,0.67806,0.34796,1.61222,1.51502,1.81445,0.000712237,0.000712237,0.000712237
31,561.967,1.43092,1.54328,1.58764,0.62274,0.62363,0.68873,0.34103,1.61641,1.4759,1.80179,0.000694428,0.000694428,0.000694428
32,577.258,1.43298,1.50507,1.58048,0.58976,0.64253,0.6848,0.34839,1.59753,1.47233,1.78958,0.000676328,0.000676328,0.000676328
33,592.552,1.42243,1.50902,1.56092,0.63938,0.62366,0.68907,0.35569,1.59126,1.3855,1.76774,0.000657963,0.000657963,0.000657963
34,608.285,1.41254,1.49626,1.56096,0.64228,0.6359,0.69946,0.34673,1.59484,1.45872,1.77989,0.000639363,0.000639363,0.000639363
35,623.526,1.41327,1.49454,1.57296,0.57132,0.6715,0.69064,0.34033,1.59822,1.44866,1.80203,0.000620555,0.000620555,0.000620555
36,638.637,1.41327,1.47824,1.55862,0.52632,0.6542,0.65987,0.33201,1.55876,1.44378,1.73316,0.00060157,0.00060157,0.00060157
37,654.129,1.41751,1.50083,1.563,0.53465,0.6838,0.68346,0.33844,1.60937,1.42453,1.80097,0.000582435,0.000582435,0.000582435
38,669.146,1.39118,1.48196,1.56034,0.55647,0.62737,0.65953,0.32729,1.64628,1.44159,1.81849,0.000563181,0.000563181,0.000563181
39,684.902,1.41003,1.48211,1.56818,0.64439,0.62847,0.6863,0.33892,1.60696,1.44635,1.79973,0.000543837,0.000543837,0.000543837
40,705.932,1.41093,1.45812,1.56489,0.76643,0.53424,0.66324,0.34246,1.59823,1.49968,1.78664,0.000524434,0.000524434,0.000524434
41,721.102,1.41475,1.4609,1.56803,0.75206,0.5613,0.66876,0.34108,1.60508,1.42784,1.76037,0.000505,0.000505,0.000505
42,736.505,1.37474,1.43181,1.54222,0.57479,0.68318,0.69693,0.36948,1.5613,1.38015,1.74137,0.000485566,0.000485566,0.000485566
43,751.889,1.40085,1.44907,1.56154,0.57082,0.66736,0.68118,0.34732,1.61659,1.39801,1.79584,0.000466163,0.000466163,0.000466163
44,766.829,1.38561,1.4253,1.55201,0.63872,0.67612,0.70961,0.37167,1.54911,1.37507,1.76061,0.000446819,0.000446819,0.000446819
45,781.766,1.39128,1.43211,1.53605,0.5592,0.6803,0.68894,0.34301,1.60733,1.41989,1.78342,0.000427565,0.000427565,0.000427565
46,797.485,1.36501,1.41945,1.52838,0.62707,0.66687,0.711,0.3541,1.6212,1.41536,1.76639,0.00040843,0.00040843,0.00040843
47,812.496,1.36091,1.38697,1.51681,0.65055,0.65485,0.72159,0.36471,1.58773,1.35247,1.76246,0.000389445,0.000389445,0.000389445
48,828.027,1.3608,1.39911,1.53967,0.62154,0.69333,0.72311,0.37848,1.54351,1.33573,1.73974,0.000370637,0.000370637,0.000370637
49,843.204,1.34746,1.38375,1.51871,0.57195,0.6694,0.71468,0.3771,1.5429,1.35298,1.73716,0.000352037,0.000352037,0.000352037
50,858.295,1.35963,1.39817,1.52038,0.63053,0.68128,0.72418,0.38262,1.5551,1.32425,1.73837,0.000333672,0.000333672,0.000333672
51,873.312,1.32941,1.38498,1.52122,0.64855,0.61855,0.69356,0.35007,1.61602,1.4082,1.78142,0.000315572,0.000315572,0.000315572
52,888.698,1.34912,1.37968,1.51482,0.64558,0.67295,0.73582,0.38848,1.5372,1.31697,1.72714,0.000297763,0.000297763,0.000297763
53,907.456,1.33952,1.36289,1.51323,0.64401,0.6898,0.72852,0.37584,1.58434,1.3194,1.75949,0.000280275,0.000280275,0.000280275
54,923.579,1.33258,1.35736,1.51541,0.65392,0.64739,0.71114,0.37702,1.56222,1.33898,1.74524,0.000263132,0.000263132,0.000263132
55,939.016,1.32293,1.32957,1.51153,0.65537,0.67224,0.73521,0.38851,1.53549,1.32101,1.74015,0.000246363,0.000246363,0.000246363
56,954.415,1.32635,1.34441,1.51437,0.64186,0.69246,0.73374,0.39171,1.52735,1.30488,1.7187,0.000229993,0.000229993,0.000229993
57,969.957,1.30342,1.29988,1.48696,0.65162,0.66181,0.72464,0.38042,1.523,1.30421,1.71774,0.000214046,0.000214046,0.000214046
58,991.658,1.30655,1.321,1.4919,0.66575,0.66283,0.72853,0.38349,1.55717,1.30204,1.7234,0.000198548,0.000198548,0.000198548
59,1014.65,1.32792,1.34889,1.49496,0.68037,0.67268,0.73355,0.37785,1.56966,1.31559,1.72969,0.000183523,0.000183523,0.000183523
60,1036.6,1.3133,1.31823,1.49434,0.64635,0.67674,0.72043,0.38078,1.54187,1.31983,1.72585,0.000168994,0.000168994,0.000168994
61,1058.82,1.30741,1.32353,1.50149,0.6539,0.68896,0.73982,0.39437,1.53511,1.27931,1.72624,0.000154982,0.000154982,0.000154982
62,1080,1.28083,1.28968,1.47906,0.69442,0.66961,0.74592,0.39517,1.5364,1.27981,1.72142,0.00014151,0.00014151,0.00014151
63,1101.83,1.29812,1.32213,1.48975,0.69809,0.65479,0.73557,0.39437,1.53921,1.2819,1.71184,0.000128599,0.000128599,0.000128599
64,1128.79,1.28012,1.27864,1.47269,0.69412,0.66793,0.74533,0.39748,1.53665,1.267,1.72718,0.000116268,0.000116268,0.000116268
65,1150.22,1.3046,1.30556,1.4866,0.69016,0.67392,0.74985,0.39735,1.52167,1.27021,1.69998,0.000104537,0.000104537,0.000104537
66,1172.22,1.28397,1.28231,1.47195,0.66093,0.67824,0.73528,0.3971,1.51995,1.26452,1.6984,9.34225e-05,9.34225e-05,9.34225e-05
67,1192.64,1.31741,1.3094,1.4954,0.64853,0.70222,0.75206,0.40501,1.52506,1.25289,1.7057,8.29431e-05,8.29431e-05,8.29431e-05
68,1215.47,1.28522,1.28302,1.47283,0.69693,0.65906,0.74837,0.39991,1.52312,1.27005,1.69736,7.31145e-05,7.31145e-05,7.31145e-05
69,1237.98,1.30357,1.30816,1.48885,0.67429,0.67766,0.75196,0.40285,1.5165,1.26026,1.69378,6.39518e-05,6.39518e-05,6.39518e-05
70,1256.81,1.28131,1.28742,1.47548,0.68217,0.67001,0.7447,0.40087,1.51802,1.26187,1.6975,5.54691e-05,5.54691e-05,5.54691e-05
71,1322.4,1.27554,1.26432,1.48225,0.64,0.6735,0.7292,0.38879,1.53303,1.28913,1.71702,4.76796e-05,4.76796e-05,4.76796e-05
72,1339.6,1.23944,1.15112,1.46171,0.67776,0.6584,0.74094,0.39433,1.53295,1.26727,1.70626,4.05953e-05,4.05953e-05,4.05953e-05
73,1362.25,1.22852,1.11954,1.45128,0.62708,0.69556,0.74204,0.39837,1.51586,1.25736,1.69365,3.4227e-05,3.4227e-05,3.4227e-05
74,1380.27,1.22385,1.09977,1.44982,0.6758,0.66966,0.7456,0.39877,1.52252,1.26045,1.70187,2.85847e-05,2.85847e-05,2.85847e-05
